year,y,x1,x2,x3,x4,x5,x6,x7,x8
1983,1442800,689,612,311,2375900,41.8,1.45,9.07,1421900
1984,1417200,855,720,351,2305000,42.33,1.53,9.54,1442800
1985,1466100,1028,874,426,2765900,42.93,1.6,9.49,1417200
1986,1454500,1268,1087,472,3306400,46.21,1.55,10.25,1466100
1987,1489400,1446,1197,652,3981400,45.8,1.49,9.35,1454500
1988,1559200,1705,1417,486,4551000,47.8,1.43,9.08,1489400
1989,1652300,1892,1524,458,5269100,49.3,1.31,9.31,1559200
1990,2024600,2113,1761,473,6020400,52.15,1.37,10.13,1652300
1991,2175900,2372,1903,506,7406200,55.46,1.26,10.88,2024600
1992,2606400,2640,2123,705,8676500,59.83,1.18,11.54,2175900
1993,3025300,3090,2574,689,9879800,60.87,1.11,12.07,2606400
1994,3493100,3603,2826,964,11108700,63.39,1.11,12.96,3025300
1995,3725800,3987,2878,1073,11832700,63.12,1.2,13.57,3493100
1996,4037600,4530,3002,1003,13091800,64.79,1.2,14.76,3725800
1997,4200500,4872,3172,1044,14063100,67.45,1.07,14.59,4037600
1998,4398200,5110,3260,854,15760600,68.89,1.01,14.88,4200500
1999,4649700,5400,3375,686,16760300,70.12,0.95,15.4,4398200
2000,4712500,5524,3497,758,16519000,71.88,0.88,15.82,4649700
2001,5205000,5653,3704,891,18083400,71.88,0.91,16.46,4712500
2002,6115500,6958,5523,1043,19267300,72.95,0.83,17.22,5205000
2003,7158700,8680,7805,1181,19580500,72.83,0.83,17.74,6115500
2004,8109500,9864,8263,1319,25365000,72.28,0.89,17.71,7158700
2005,9051000,11805,9522,1946,30032000,72.01,0.84,16.98,8109500
2006,9623000,12314,11092,2347,32987000,72.31,0.85,17.2,9051000
